Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,SMA_200,Close_below_SMA_200,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Short_Ratio,Short_Count,Short_Amount,Target_Price_Uplift,Avg_BB_Price,Close_over_Avg_BB,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-11-21,276.641,290.603,276.242,288.808,22357879,0.0,0.0,282.3057,0,279.1443500000006,0,294.36855999999983,1,327.7629999999997,1,351.6406799999998,1,372.12201499999975,1,25971.47,,,381.0,,,0.11320000000000001,0.2431564791115353,0.1663358935703943,0.3192155341957288,212.15587821932118,0.3613009567495362,281.39,0.026361988698958783,0.0001224284478401432,13.4,3.2,10.2,Train / Val
2018-11-22,294.393,296.786,289.805,294.193,19959478,0.0,0.0,282.4453,0,280.4408000000006,0,293.99757999999986,0,326.77769999999964,1,350.9668666666665,1,371.2952249999997,1,26019.41,-0.1779,-0.1779,381.0,,,0.1545,0.30312133963819354,0.21304662117787204,0.2950682035262566,212.15587821932118,0.3866832371991644,281.39,0.04549912932229283,9.417572910780247e-05,11.3,3.1,8.200000000000001,Train / Val
2018-11-23,292.199,293.794,286.614,290.404,12015790,0.0,0.0,283.64209999999997,0,281.99655000000064,0,293.66249999999985,1,325.78442999999965,1,350.2492133333331,1,370.44053499999967,1,25927.68,,,381.0,,,0.106,0.1066873454513904,0.07081977424896146,0.3119653999256209,212.15587821932118,0.36882372733405,281.39,0.03203383204804733,7.244286854446342e-05,12.8,3.7,9.100000000000001,Train / Val
2018-11-26,292.199,297.783,291.002,297.185,15160911,0.0,0.0,286.3746,0,283.89135000000067,0,293.45507999999984,0,324.9367599999996,1,349.53828666666647,1,369.63765999999964,1,26376.18,,,381.0,,,0.0723,0.0875450088933235,0.05893225396307096,0.28202971213217354,212.15587821932118,0.40078607528742594,281.39,0.05613205870855409,5.5725283495741096e-05,10.2,3.6,6.6,Train / Val
2018-11-27,298.581,302.969,295.589,302.969,27363126,0.0,0.0,289.3066,0,286.46430000000066,0,293.0561799999998,0,324.12099999999964,1,348.9030733333331,1,368.90151999999966,1,26331.96,0.4019,0.4019,381.0,,,0.111,0.29795887380157043,0.2152938766741583,0.2575544032557786,212.15587821932118,0.4280490483831827,281.39,0.07668716016916033,4.286560268903161e-05,8.1,2.3,5.8,Train / Val
2018-11-28,306.16,314.138,303.966,313.939,34384748,0.0,0.0,293.55499999999995,0,288.84775000000064,0,292.7530199999998,0,323.4049599999996,1,348.38212666666647,1,368.27695499999965,1,26682.56,0.0,0.0,381.0,,,0.1384,0.484631903171229,0.3657465337537746,0.21361156148168914,212.15587821932118,0.4797563123632056,281.39,0.11567219872774448,3.2973540530024316e-05,4.3,2.3,2.0,Train / Val
2018-11-29,319.125,319.923,308.354,311.147,38087387,0.0,0.0,295.94849999999997,0,290.55310000000065,0,292.60941999999983,0,322.5672599999996,1,347.82531999999975,1,367.79267499999963,1,26451.03,,,381.0,,,0.1925,0.7636219686781485,0.5840723677835248,0.22450160213661063,212.15587821932118,0.46659617735571013,281.39,0.10575002665339928,2.536426194617255e-05,5.3,2.5,2.8,Train / Val
2018-11-30,311.944,314.138,307.556,311.147,23164493,0.0,0.0,298.1026,0,290.9719500000007,0,292.4897599999999,0,321.8213099999996,1,347.33352666666644,1,367.28450999999967,1,26506.75,0.4019,0.4019,381.0,,,0.1175,0.26384972452388183,0.19863510357807002,0.22450160213661063,212.15587821932118,0.46659617735571013,281.39,0.10575002665339928,1.9510970727825035e-05,5.3,3.2,2.0999999999999996,Train / Val
2018-12-03,327.103,327.302,319.125,323.912,35143989,0.0,0.0,301.4534,0,292.58755000000065,0,292.5535999999999,0,321.2768099999996,0,346.9573466666664,1,366.8133049999996,1,27182.04,,,381.0,,,0.1821,0.6625851373042384,0.5238291267215895,0.17624539998518118,212.15587821932118,0.5267642014856089,281.39,0.1511141120864281,1.5008439021403876e-05,1.1,3.1,2.0,Train / Val
2018-12-04,325.308,327.502,319.324,327.502,25224551,0.0,0.0,306.12059999999997,0,294.4026000000007,0,292.6373799999999,0,320.7622199999996,0,346.5639733333331,1,366.42373499999957,1,27260.44,,,381.0,,,0.17679999999999998,0.45227972756062645,0.35692024016300217,0.16335167418824925,212.15587821932118,0.5436857217853612,281.39,0.1638722058353177,1.1544953093387595e-05,-1.4,3.6,5.0,Train / Val
2018-12-05,317.13,322.914,315.136,320.122,26006699,0.0,0.0,309.25199999999995,0,295.7788500000007,0,292.3701199999999,0,320.1638599999996,1,346.10414666666645,1,365.98631999999964,1,26819.68,,,381.0,,,0.1173,0.29936879094182467,0.2318248512952142,0.1901712472120003,212.15587821932118,0.5088999781050907,281.39,0.1376452610256229,8.880733148759689e-06,-0.1,3.7,3.8000000000000003,Train / Val
2018-12-06,311.346,315.933,302.969,303.368,31464150,0.0,0.0,310.16949999999997,1,296.3074000000007,0,291.8994199999999,0,319.3939699999996,1,345.5167066666665,1,365.4014449999997,1,26156.38,0.0,0.0,381.0,,,0.09359999999999999,0.2880460717539369,0.21363963328979768,0.2559004245668628,212.15587821932118,0.42992974102931103,281.39,0.0781051210064323,6.8313331913536066e-06,5.5,3.4,2.1,Train / Val
2018-12-07,303.966,312.942,303.966,309.75,30969630,0.0,0.0,312.10409999999996,1,297.8731000000007,0,291.51247999999987,0,318.7437499999996,1,345.0275399999998,1,364.79275499999966,1,26063.76,,,381.0,,,0.1092,0.33550605179818666,0.25162391865999567,0.2300242130750605,212.15587821932118,0.46001139633655863,281.39,0.10078538682966709,5.25487168565662e-06,5.5,3.4,2.1,Train / Val
