Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Short_Ratio,Target_Price_Uplift,Avg_BB_Price,Close_over_Avg_BB,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-03-01,427.906,445.221,425.915,444.823,27113483,0.0,0.0,444.0667,0,436.0559000000001,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31044.25,,,158.0,,,0.0951,-0.6448025394370345,,0.0,,0.0,0.0,6.4,,,Train / Val
2018-03-02,434.872,438.454,433.876,433.876,25891511,0.0,0.0,444.30550000000005,1,434.6826000000001,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30583.45,,,158.0,,,0.0501,-0.6358406549336677,,0.0,,0.0,0.0,9.1,,,Train / Val
2018-03-05,433.876,437.459,422.93,422.93,24038693,0.0,0.0,442.11620000000005,1,432.9411000000001,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,0,29886.39,0.0,0.0,158.0,,,0.15380000000000002,-0.6264157189132953,,0.0,,0.0,0.0,11.9,,,Train / Val
2018-03-06,432.881,441.837,427.906,436.464,24812525,0.0,0.0,441.39970000000005,1,432.2544500000001,0,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30510.73,0.68,0.68,158.0,,,0.0774,-0.6379999266835295,,0.0,,0.0,0.0,8.4,,,Train / Val
2018-03-07,433.08,439.051,427.906,432.085,19256638,0.0,0.0,439.0313,1,431.91610000000003,0,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30196.92,,,158.0,,,0.1043,-0.6343312079799113,,0.0,,0.0,0.0,9.5,,,Train / Val
2018-03-08,437.857,441.837,435.867,440.842,17506389,0.0,0.0,438.6929,0,433.55805,0,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30654.52,,,158.0,,,0.0964,-0.6415949478497965,,0.0,,0.0,0.0,7.4,,,Train / Val
2018-03-09,442.833,446.017,442.833,444.823,13025075,0.0,0.0,438.05600000000004,0,435.1602,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,30996.21,,,158.0,,,0.0898,-0.6448025394370345,,0.0,,0.0,0.0,6.4,,,Train / Val
2018-03-12,453.182,457.76,452.585,457.76,25513013,0.0,0.0,438.7526000000001,0,437.14054999999996,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31594.33,,,158.0,,,0.062,-0.6548409646976582,,0.0,,0.0,0.0,3.4,,,Train / Val
2018-03-13,457.76,460.546,453.58,460.546,18501646,0.0,0.0,440.42440000000005,0,439.89705000000004,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31601.45,0.0,0.0,158.0,,,0.1444,-0.656928949551185,,0.0,,0.0,0.0,2.8,,,Train / Val
2018-03-14,455.172,461.541,451.391,461.342,22611788,0.0,0.0,443.5491,0,442.5839000000001,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31435.01,,,158.0,,,0.111,-0.6575208847232639,,0.0,,0.0,0.0,2.6,,,Train / Val
2018-03-15,456.963,467.711,455.769,466.318,24702582,0.0,0.0,445.6986,0,444.88265,0,442.1759000000001,0,424.5377199999999,0,411.4489133333333,0,31541.1,,,158.0,,,0.10779999999999999,-0.6611754210645954,,0.0,,0.0,0.0,1.5,,,Train / Val
2018-03-16,464.725,470.497,462.934,462.934,23898970,0.0,0.0,448.6044,0,446.45495,0,443.0317000000001,0,424.5377199999999,0,411.4489133333333,0,31501.97,,,158.0,,,0.0922,-0.6586986481874306,,0.0,,0.0,0.0,2.2,,,Train / Val
2018-03-19,462.735,468.109,459.551,459.551,16287008,0.0,0.0,452.2665,0,447.19134999999994,0,443.6287800000001,0,424.5377199999999,0,411.4489133333333,0,31513.76,,,158.0,,,0.1406,-0.6561861469129651,,0.0,,0.0,0.0,3.0,,,Train / Val
2018-03-20,454.177,466.119,453.779,464.327,21953314,0.0,0.0,455.05280000000005,0,448.2262499999999,0,444.2935200000001,0,424.5377199999999,0,411.4489133333333,0,31549.93,,,158.0,,,0.1752,-0.6597225662087278,,0.0,,0.0,0.0,1.9,,,Train / Val
2018-03-21,469.9,473.284,458.357,460.347,28243967,0.0,0.0,457.879,0,448.4551499999999,0,444.7711800000002,0,424.5377199999999,0,411.4489133333333,0,31414.52,0.1779,0.1779,158.0,,,0.0915,-0.6567806459040679,,0.0,,0.0,0.0,-0.8,,,Train / Val
2018-03-22,449.4,456.764,436.464,437.26,71848311,0.0,0.0,457.52080000000007,1,448.10684999999984,1,444.68362000000013,1,424.5377199999999,0,411.4489133333333,0,31071.05,-0.3182,-0.3182,158.0,,,0.0892,-0.6386589214654896,,0.0,,0.0,0.0,-0.2,,,Train / Val
2018-03-23,403.027,422.731,403.027,417.954,308436765,0.0,0.0,454.83389999999997,1,446.4449499999999,1,444.2776000000002,1,424.5377199999999,1,411.4489133333333,0,30309.29,0.0258,0.0258,158.0,,,0.0301,-0.6219679677667878,,0.0,,0.0,0.0,4.4,,,Train / Val
2018-03-26,417.357,428.901,410.391,424.522,47299723,0.0,0.0,451.51009999999997,1,445.13134999999994,1,444.22186000000016,1,424.5377199999999,1,411.4489133333333,0,30548.77,,,158.0,,,0.0535,-0.6278166973678632,,0.0,,0.0,0.0,2.8,,,Train / Val
2018-03-27,433.08,436.464,428.105,430.095,42644182,0.0,0.0,448.465,1,444.4446999999999,1,444.0228400000002,1,424.5377199999999,0,411.4489133333333,0,30790.83,-0.6908,-0.6908,158.0,,,0.08800000000000001,-0.6326393006196306,,0.0,,0.0,0.0,-1.1,,,Train / Val
2018-03-28,417.954,425.318,409.396,410.192,48964699,0.0,0.0,443.35,1,443.44955,1,443.6048800000002,1,424.5377199999999,1,411.4489133333333,1,30022.53,0.4767,0.4767,158.0,,,0.11449999999999999,-0.6148145258805633,,0.0,,0.0,0.0,3.3,,,Train / Val
2018-03-29,411.984,414.969,403.226,407.605,41115421,0.0,0.0,437.47869999999995,1,441.58865,1,442.9162400000002,1,424.5377199999999,1,411.4489133333333,1,30093.38,,,158.0,,,0.09630000000000001,-0.6123698188196907,,0.0,,0.0,0.0,3.9,,,Train / Val
2018-04-03,402.629,410.391,398.649,407.406,32886586,0.0,0.0,431.9258999999999,1,440.26515,1,442.1281000000002,1,424.5377199999999,1,411.4489133333333,1,30180.1,,,158.0,,,0.09519999999999999,-0.6121804784416528,,0.0,,0.0,0.0,4.0,,,Train / Val
2018-04-04,406.212,409.993,395.664,395.664,35861711,0.0,0.0,425.53719999999987,1,438.90185,1,441.12900000000025,1,424.5377199999999,1,411.4489133333333,1,29518.69,0.0,0.0,158.0,,,0.1482,-0.6006712766387642,,0.0,,0.0,0.0,7.0,,,Train / Val
2018-04-06,402.828,407.605,398.45,403.824,26586340,0.0,0.0,419.48689999999976,1,437.26985,1,440.20154000000025,1,424.5377199999999,1,411.4489133333333,1,29844.94,,,158.0,,,0.1266,-0.6087404413804034,,0.0,,0.0,0.0,4.9,,,Train / Val
2018-04-09,406.013,412.581,402.231,408.003,21220762,0.0,0.0,414.25249999999977,1,436.0657500000001,1,439.20640000000026,1,424.5377199999999,1,411.4489133333333,1,30229.58,,,158.0,,,0.1434,-0.612747945480793,,0.0,,0.0,0.0,3.8,,,Train / Val
2018-04-10,410.988,416.561,407.406,415.168,25584002,0.0,0.0,412.0432999999997,0,434.7820500000001,1,438.0640000000003,1,424.5377199999999,1,411.4489133333333,0,30728.74,,,158.0,,,0.1272,-0.6194311700323725,,0.0,,0.0,0.0,2.0,,,Train / Val
2018-04-11,418.95,423.527,415.168,417.556,23911389,0.0,0.0,412.0034999999997,0,433.41870000000006,1,437.0808000000003,1,424.5377199999999,1,411.4489133333333,0,30897.71,,,158.0,,,0.19039999999999999,-0.6216076406517927,,0.0,,0.0,0.0,1.0,,,Train / Val
2018-04-12,420.343,421.537,406.809,411.188,20604298,0.0,0.0,410.6700999999997,0,431.09010000000006,1,436.18918000000025,1,424.5377199999999,1,411.4489133333333,1,30831.28,-0.659,-0.659,,,,0.1512,-0.6216076406517927,,0.0,,0.0,0.0,0.9,,,Train / Val
2018-04-13,414.571,414.77,405.217,406.013,19567202,0.0,0.0,408.2618999999997,1,428.3634500000001,1,434.93134000000026,1,424.5377199999999,1,411.4489133333333,1,30808.38,,,,,,0.1176,-0.6216076406517927,,0.0,,0.0,0.0,2.2,,,Train / Val
2018-04-16,404.819,405.814,397.256,401.037,24901230,0.0,0.0,407.34639999999973,1,425.3482000000001,1,433.56602000000026,1,424.5377199999999,1,411.4489133333333,1,30315.59,,,,,,0.1128,-0.6216076406517927,,0.0,,0.0,0.0,3.4,,,Train / Val
