Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-02-27,63.118,63.538,62.651,63.071,7217554,0.0,0.0,61.40309999999988,0,62.29074999999991,0,64.98179999999996,1,63.43840000000004,1,61.74345333333342,0,31268.66,,2.5,3.3,0.7999999999999998,Train / Val
2018-02-28,62.324,62.51,61.81,62.51,6360498,0.0,0.0,61.48719999999988,0,62.14824999999992,0,64.92665999999997,1,63.47963000000004,1,61.78134666666676,0,30844.72,0.0,3.4,2.6,0.7999999999999998,Train / Val
2018-03-01,62.137,64.239,62.137,64.146,6433916,0.0,0.0,61.78159999999988,0,62.12024999999992,0,64.91077999999997,1,63.53126000000004,0,61.83259333333343,0,31044.25,,0.8,2.6,1.8,Train / Val
2018-03-02,64.052,64.286,63.305,64.286,8926573,0.0,0.0,62.09459999999988,0,62.10159999999992,0,64.89583999999996,1,63.59071000000004,0,61.887833333333425,0,30583.45,,0.6,2.3,1.6999999999999997,Train / Val
2018-03-05,64.286,64.286,62.37,62.651,5696240,0.0,0.0,62.31419999999987,0,62.00819999999992,0,64.83791999999997,1,63.63060000000003,1,61.92146666666676,0,29886.39,,3.2,1.9,1.3000000000000003,Train / Val
2018-03-06,62.978,63.164,62.137,62.37,4102096,0.0,0.0,62.47769999999987,1,61.94979999999991,0,64.75755999999997,1,63.66906000000003,1,61.94618666666676,0,30510.73,,3.7,-9.6,13.3,Train / Val
2018-03-07,62.417,62.744,61.81,61.996,5436647,0.0,0.0,62.552399999999864,1,61.91239999999992,0,64.66317999999997,1,63.70378000000002,1,61.97086000000009,0,30196.92,0.0,4.3,-9.3,13.600000000000001,Train / Val
2018-03-08,62.23,64.005,62.23,63.538,3958655,0.0,0.0,62.83269999999986,0,61.998799999999925,0,64.61457999999998,1,63.75621000000002,1,62.00520000000009,0,30654.52,0.0,1.8,-0.3,2.1,Train / Val
2018-03-09,63.538,63.538,62.931,63.024,5150201,0.0,0.0,63.04289999999986,1,62.05719999999993,0,64.54075999999996,1,63.80213000000003,1,62.03520000000009,0,30996.21,,2.6,-11.1,13.7,Train / Val
2018-03-12,63.538,63.819,63.164,63.585,3548859,0.0,0.0,63.117699999999864,0,62.148299999999935,0,64.46693999999997,1,63.851820000000025,1,62.06985333333341,0,31594.33,,1.7,-0.6,2.3,Train / Val
